Survey_Id,,,,,,,,,,,Crossing_Type,,,,,,,,GPS_X_Coordinate,GPS_Y_Coordinate,,Inlet_Type,,Number_Of_Culverts,,,Road_Fill_Height,,,,,,,,Naacc_Culvert_Id,,,,Crossing_Structure_Length,,,,Inlet_Height,Inlet_Structure_Type,Inlet_Substrate_Water_Width,Inlet_Water_Depth,Inlet_Width,,Material,,,,,,,,,,,,Slope_Percent
10959,,,,,,,,,,,Multiple Culverts,,,,,,,,-74.189856,42.449188,,Wingwall,,2,,,-7.2,,,,,,,,11196,,,,33,,,,7.2,Elliptical Culvert Embedded or with Persistent Water,5,4,12,,Steel / Metal,,,,,,,,,,,,6.7
10959,,,,,,,,,,,Multiple Culverts,,,,,,,,-74.189856,42.449188,,Wingwall,,2,,,-6.5,,,,,,,,11197,,,,32,,,,6.5,Elliptical Culvert Embedded or with Persistent Water,5,4,11,,Steel / Metal,,,,,,,,,,,,6.7
10962,,,,,,,,,,,Single Culvert,,,,,,,,-74.193365,42.446386,,Wingwall,,1,,,0,,,,,,,,11200,,,,50,,,,0,Round Culvert,0,0,2,,Concrete,,,,,,,,,,,,2.5
10957,,,,,,,,,,,Single Culvert,,,,,,,,-74.173696,42.462433,,Other,,1,,,0,,,,,,,,11194,,,,1,,,,0,Round Culvert,0,0,2.2,,Steel / Metal,,,,,,,,,,,,-2
10958,,,,,,,,,,,Single Culvert,,,,,,,,-74.188523,42.451363,,Headwall,,1,,,0,,,,,,,,12021,,,,59,,,,0,Round Culvert,0,0,2.8,,Concrete,,,,,,,,,,,,6.2
10961,,,,,,,,,,,Single Culvert,,,,,,,,-74.191668,42.447685,,Wingwall,,1,,,-1.6,,,,,,,,11199,,,,50,,,,1.6,Round Culvert Embedded or with Persistent Water,0.2,1,2.2,,Steel / Metal,,,,,,,,,,,,6
10963,,,,,,,,,,,Single Culvert,,,,,,,,-74.193951,42.445455,,Wingwall,,1,,,-7.3,,,,,,,,11201,,,,40,,,,7.3,Bridge with Abutments,0,4,32,,Concrete,,,,,,,,,,,,1.2
10964,,,,,,,,,,,Single Culvert,,,,,,,,-74.194336,42.445371,,Wingwall,,1,,,0,,,,,,,,11202,,,,50,,,,0,Round Culvert,0,0,5,,Steel / Metal,,,,,,,,,,,,3.5
10965,,,,,,,,,,,Single Culvert,,,,,,,,-74.200955,42.440338,,Other,,1,,,0,,,,,,,,11203,,,,44,,,,0,Round Culvert,0,0,1.8,,Plastic,,,,,,,,,,,,3.4
11759,,,,,,,,,,,Single Culvert,,,,,,,,-74.200955,42.440338,,Other,,1,,,0,,,,,,,,12016,,,,44,,,,0,Round Culvert,0,0,1.8,,Plastic,,,,,,,,,,,,3.4
11761,,,,,,,,,,,Single Culvert,,,,,,,,-74.194336,42.445371,,Wingwall,,1,,,0,,,,,,,,12017,,,,50,,,,0,Round Culvert,0,0,5,,Steel / Metal,,,,,,,,,,,,3.5
11762,,,,,,,,,,,Single Culvert,,,,,,,,-74.191668,42.447685,,Wingwall,,1,,,-1.6,,,,,,,,12018,,,,50,,,,1.6,Round Culvert Embedded or with Persistent Water,0.2,1,2.2,,Steel / Metal,,,,,,,,,,,,6
11763,,,,,,,,,,,Single Culvert,,,,,,,,-74.188523,42.451363,,Headwall,,1,,,0,,,,,,,,12019,,,,59,,,,0,Round Culvert,0,0,2.8,,Concrete,,,,,,,,,,,,6.2
11764,,,,,,,,,,,Single Culvert,,,,,,,,-74.188523,42.451363,,Headwall,,1,,,0,,,,,,,,12020,,,,59,,,,0,Round Culvert,0,0,2.8,,Concrete,,,,,,,,,,,,6.2
10960,,,,,,,,,,,Single Culvert,,,,,,,,-74.190028,42.44936,,Wingwall,,1,,,0,,,,,,,,11198,,,,49,,,,0,Round Culvert,0,0,2,,Steel / Metal,,,,,,,,,,,,2.7
11766,,,,,,,,,,,Single Culvert,,,,,,,,-74.191668,42.447685,,Wingwall,,1,,,-1.6,,,,,,,,12022,,,,50,,,,1.6,Round Culvert Embedded or with Persistent Water,0.2,1,2.2,,Steel / Metal,,,,,,,,,,,,6
10874,,,,,,,,,,,Bridge,,,,,,,,-74.225035,42.455006,,Wingwall,,1,,,-4.3,,,,,,,,11111,,,,29,,,,4.3,Bridge with Abutments,0,0,20,,Concrete,,,,,,,,,,,,0.9
10869,,,,,,,,,,,Bridge,,,,,,,,-74.24254,42.468481,,Wingwall,,1,,,-8,,,,,,,,11106,,,,36,,,,8,Bridge with Abutments,0,0,22,,Concrete,,,,,,,,,,,,2.2
11004,,,,,,,,,,,Single Culvert,,,,,,,,-74.201346,42.434216,,Wingwall,,1,,,-8.5,,,,,,,,11242,,,,95,,,,8.5,Box Culvert,0,0,16,,Concrete,,,,,,,,,,,,13.7
10991,,,,,,,,,,,Bridge,,,,,,,,-74.203723,42.437435,,Wingwall,,1,,,-14,,,,,,,,11229,,,,14.5,,,,14,Bridge with Abutments,0,19,75,,Concrete,,,,,,,,,,,,0.5
10993,,,,,,,,,,,Bridge,,,,,,,,-74.180915,42.46264,,Projecting,,1,,,-12.3,,,,,,,,11231,,,,48,,,,12.3,Bridge with Abutments,0,7,2.5,,Concrete,,,,,,,,,,,,0.4
10912,,,,,,,,,,,Single Culvert,,,,,,,,-74.18535,42.489835,,Wingwall,,1,,,-1.3,,,,,,,,11149,,,,19,,,,1.3,Round Culvert Embedded or with Persistent Water,1.2,1,1.7,,Steel / Metal,,,,,,,,,,,,2.7
10935,,,,,,,,,,,Single Culvert,,,,,,,,-74.21593,42.464556,,Headwall,,1,,,0,,,,,,,,11172,,,,30.4,,,,0,Round Culvert,0,0,1.5,,Plastic,,,,,,,,,,,,1.4
10940,,,,,,,,,,,Single Culvert,,,,,,,,-74.198481,42.491881,,Headwall and Wingwall,,1,,,-4.9,,,,,,,,11177,,,,40,,,,4.9,Round Culvert Embedded or with Persistent Water,1,1,5,,Steel / Metal,,,,,,,,,,,,2.8
10943,,,,,,,,,,,Single Culvert,,,,,,,,-74.208103,42.48401,,Headwall,,1,,,-2.4,,,,,,,,11180,,,,40,,,,2.4,Round Culvert Embedded or with Persistent Water,1.6,1,2.5,,Steel / Metal,,,,,,,,,,,,3.7
10952,,,,,,,,,,,Single Culvert,,,,,,,,-74.188933,42.436541,,Headwall,,1,,,0,,,,,,,,11189,,,,24.5,,,,0,Round Culvert,0,0,0.5,,Plastic,,,,,,,,,,,,2.2
10954,,,,,,,,,,,Single Culvert,,,,,,,,-74.183375,42.437206,,Headwall,,1,,,-2.4,,,,,,,,11191,,,,43.1,,,,2.4,Round Culvert Embedded or with Persistent Water,1,1,2,,Steel / Metal,,,,,,,,,,,,5.6
10955,,,,,,,,,,,Single Culvert,,,,,,,,-74.179303,42.437665,,Headwall,,1,,,0,,,,,,,,11192,,,,30,,,,0,Round Culvert,0,0,1.3,,Steel / Metal,,,,,,,,,,,,4.3
10956,,,,,,,,,,,Single Culvert,,,,,,,,-74.181395,42.435121,,Headwall,,1,,,-1.5,,,,,,,,11193,,,,34.5,,,,1.5,Round Culvert Embedded or with Persistent Water,1.2,3,1.5,,Steel / Metal,,,,,,,,,,,,1.6
10978,,,,,,,,,,,Single Culvert,,,,,,,,-74.177033,42.495408,,Headwall,,1,,,-0.6,,,,,,,,11216,,,,26.8,,,,0.6,Round Culvert Embedded or with Persistent Water,0.5,3,0.8,,Steel / Metal,,,,,,,,,,,,1.8
10981,,,,,,,,,,,Single Culvert,,,,,,,,-74.194433,42.499318,,Headwall,,1,,,0,,,,,,,,11219,,,,28.8,,,,0,Round Culvert,0,0,1.5,,Steel / Metal,,,,,,,,,,,,2.9
10995,,,,,,,,,,,Single Culvert,,,,,,,,-74.185041,42.474871,,Headwall,,1,,,0,,,,,,,,11233,,,,36,,,,0,Round Culvert,0,0,2,,Steel / Metal,,,,,,,,,,,,2.9
11010,,,,,,,,,,,Single Culvert,,,,,,,,-74.214786,42.488016,,Headwall,,1,,,-0.9,,,,,,,,11248,,,,42,,,,0.9,Round Culvert Embedded or with Persistent Water,1.2,0,1.2,,Steel / Metal,,,,,,,,,,,,1
10913,,,,,,,,,,,Single Culvert,,,,,,,,-74.185528,42.48461,,Wingwall,,1,,,0,,,,,,,,11150,,,,40,,,,0,Round Culvert,0,0,3.5,,Steel / Metal,,,,,,,,,,,,1.5
10925,,,,,,,,,,,Single Culvert,,,,,,,,-74.199123,42.42647,,Headwall,,1,,,-1,,,,,,,,11162,,,,40.9,,,,1,Round Culvert Embedded or with Persistent Water,1.3,4,1.6,,Plastic,,,,,,,,,,,,0.4
10926,,,,,,,,,,,Single Culvert,,,,,,,,-74.200691,42.428281,,Projecting,,1,,,0,,,,,,,,11163,,,,30.4,,,,0,Round Culvert,0,0,1.5,,Steel / Metal,,,,,,,,,,,,3.7
10927,,,,,,,,,,,Single Culvert,,,,,,,,-74.18733,42.506181,,Headwall,,1,,,0,,,,,,,,11164,,,,39,,,,0,Round Culvert,0,0,1.5,,Concrete,,,,,,,,,,,,7.6
10928,,,,,,,,,,,Single Culvert,,,,,,,,-74.18763,42.506515,,Headwall,,1,,,0,,,,,,,,11165,,,,44,,,,0,Round Culvert,0,0,2,,Concrete,,,,,,,,,,,,3.3
10929,,,,,,,,,,,Single Culvert,,,,,,,,-74.184521,42.504505,,Headwall,,1,,,-1.4,,,,,,,,11166,,,,41,,,,1.4,Round Culvert Embedded or with Persistent Water,0.4,1,1.5,,Plastic,,,,,,,,,,,,5.1
10930,,,,,,,,,,,Single Culvert,,,,,,,,-74.190273,42.50066,,Wingwall,,1,,,0,,,,,,,,11167,,,,37.5,,,,0,Round Culvert,0,0,7,,Steel / Metal,,,,,,,,,,,,5.8
10933,,,,,,,,,,,Single Culvert,,,,,,,,-74.216081,42.473981,,Headwall,,1,,,0,,,,,,,,11170,,,,40,,,,0,Round Culvert,0,0,1.5,,Plastic,,,,,,,,,,,,5.4
